smiles,ic50_nm,dg_bind
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.1500000000000004,-12.29340483086117
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,210.0,-9.471252231887844
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,32.7,-10.616791630847842
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,87.1,-10.013337028833588
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,2.53,-12.193154813675477
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,17.7,-10.994880446541924
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,2108.0,-8.050586798079841
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,22.34,-10.851473912064804
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,6.7940000000000005,-11.584686979021127
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.04,-11.4809642752108
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,303.0,-9.245422061374276
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,244.0,-9.37881934585003
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,60.2,-10.240866818728549
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,14.8,-11.105100553044943
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,25.9,-10.760394016150363
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,11.0,-11.287878506398272
C#CCOc1cccc(Nc2ncc(C)c(Nc3cccc(NC(=O)C=C)c3)n2)c1,55.0,-10.296513035476238
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,3275.0,-7.779203820567604
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,7.365,-11.53497870500799
C#Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,1489.4,-8.264554003344529
C#Cc1cc(C=O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,109.8,-9.87067613148929
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,4.0,-11.910994319964864
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,28.8,-10.695019630366087
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)cc(OC(=O)C=C)c1,1325.0,-8.336598405749116
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1C=O,48.2,-10.377805161383678
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,71.0,-10.139227133722745
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,126.9,-9.781521344737394
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,3060.0,-7.821030002602733
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,3510.0,-7.736518227784071
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,26.0,-10.75802033305879
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,1120.0,-8.440132968100702
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,3310.0,-7.772655862171331
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,5160.0,-7.499172333518662
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,2250.0,-8.010431353106483
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,900.0,-8.574838955219006
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,6170.0,-7.389060145197338
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,61.0,-10.232735083469048
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,850.0,-8.610046823392
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,2.4,-12.225647579436002
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,30.5,-10.659692952278558
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,185.0,-9.549327480010387
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,30.0,-10.669874506401445
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,19900.0,-6.667746405235253
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,55200.0,-6.039307188055496
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,3.0,-12.088197846132987
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,40.0,-10.49267098023332
C#Cc1cccc(Nc2ncnc3c2NCc2cc(OC)c(OC)cc2O3)c1,2050.0,-8.067772261002455
C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,27.549999999999997,-10.722351975731014
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,274.85,-9.305483639855805
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,3.3,-12.029489634678919
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,12.35,-11.216573332412201
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CNC4CC4)cc23)c1,7.9,-11.491784603631315
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC4CCN(C(=O)C=C)CC4)cc23)c1,8.6,-11.439489093242152
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC4CN(C(=O)C=C)C4)cc23)c1,1.1,-12.706201846129813
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,28.8,-10.695019630366087
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,15.0,-11.096832375210955
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)Nc4ccc(S(N)(=O)=O)cc4)cc23)c1,48.85,-10.369554023066142
